Customer_Segment,Customer_Count,Avg_Recency,Avg_Frequency,Avg_Monetary,Total_Revenue
Recent Customers,22351,132.54404724620824,1.0,199.41637823811013,4457155.47
Champions,6459,90.05248490478402,1.1795943644527016,442.11490168756774,2855620.15
At Risk,11148,315.4501255830642,1.0535522066738428,223.92583961248653,2496325.26
Potential Loyalists,11338,219.45281354736284,1.0580349267948492,204.0810698535897,2313871.17
Can't Lose Them,11068,472.26761835923384,1.0423744127213588,200.2604680159017,2216482.86
Loyal Customers,15988,89.09901175881912,1.0146985238929196,138.4952714535902,2214262.4
About to Sleep,7427,315.1976571967147,1.0,230.11137606032045,1709037.19
Hibernating,7557,472.4331083763398,1.0,199.78184464734682,1509751.4
